date,open,high,low,close,volume
2024-04-01 09:15:00,2984.95,2985.0,2976.0,2977.9,98444
2024-04-01 09:16:00,2977.85,2981.65,2977.85,2981.65,29446
2024-04-01 09:17:00,2981.65,2982.75,2975.75,2979.95,28572
2024-04-01 09:18:00,2980.45,2987.95,2980.3,2984.9,25834
2024-04-01 09:19:00,2984.25,2986.4,2982.5,2986.25,25428
2024-04-01 09:20:00,2986.25,2987.9,2984.4,2984.4,18945
2024-04-01 09:21:00,2984.75,2986.4,2983.0,2984.5,14907
2024-04-01 09:22:00,2983.8,2983.85,2977.3,2978.6,24183
2024-04-01 09:23:00,2978.05,2984.0,2978.05,2983.45,5789
2024-04-01 09:24:00,2983.45,2984.7,2981.5,2982.0,6656
2024-04-01 09:25:00,2982.0,2983.75,2981.5,2982.9,6293
2024-04-01 09:26:00,2982.9,2983.55,2980.1,2980.2,10075
2024-04-01 09:27:00,2981.0,2981.1,2978.3,2980.0,8306
2024-04-01 09:28:00,2980.0,2982.0,2979.95,2980.95,6249
2024-04-01 09:29:00,2981.0,2983.15,2980.9,2983.15,5404
2024-04-01 09:30:00,2982.4,2983.45,2982.0,2982.0,5095
2024-04-01 09:31:00,2982.0,2982.25,2977.05,2979.0,13420
2024-04-01 09:32:00,2979.0,2979.4,2977.0,2978.9,7594
2024-04-01 09:33:00,2978.9,2979.7,2977.0,2979.6,5463
2024-04-01 09:34:00,2979.6,2979.7,2978.35,2979.0,4522
2024-04-01 09:35:00,2979.3,2982.0,2979.3,2981.0,7628
2024-04-01 09:36:00,2981.0,2982.95,2981.0,2981.6,5932
2024-04-01 09:37:00,2981.6,2981.6,2980.0,2980.45,6689
2024-04-01 09:38:00,2980.45,2980.45,2979.1,2979.45,4366
2024-04-01 09:39:00,2979.0,2980.0,2978.8,2979.25,5054
2024-04-01 09:40:00,2979.25,2979.25,2977.15,2978.45,5824
2024-04-01 09:41:00,2978.5,2978.5,2977.0,2977.45,4052
2024-04-01 09:42:00,2977.25,2977.4,2973.5,2974.1,18900
2024-04-01 09:43:00,2974.4,2974.4,2971.7,2973.25,11748
2024-04-01 09:44:00,2972.9,2975.9,2972.7,2975.8,5161
2024-04-01 09:45:00,2975.8,2975.95,2973.05,2974.8,17130
2024-04-01 09:46:00,2974.8,2975.8,2973.75,2975.75,7622
2024-04-01 09:47:00,2975.6,2975.6,2973.8,2974.9,3793
2024-04-01 09:48:00,2974.9,2977.6,2974.9,2977.6,4316
